Iteration,Agent_ID,Average_Reward
1,0,-2.1133229166666094
1,1,-2.099999999999942
1,2,-2.0985416666666086
1,3,-2.099999999999942
1,4,-2.1813124999999896
1,5,-2.3066145833333604
1,6,-2.348802083333288
2,0,-2.099999999999942
2,1,-2.4272916666666595
2,2,-2.099999999999942
2,3,-2.202520833333272
2,4,-2.2159479166666047
2,5,-2.183416666666607
2,6,-2.099583333333275
3,0,-2.099999999999942
3,1,-2.249760416666653
3,2,-2.099999999999942
3,3,-2.331968749999934
3,4,-2.099999999999942
3,5,-2.099999999999942
3,6,-2.099999999999942
4,0,-2.099999999999942
4,1,-2.216604166666626
4,2,-2.099999999999942
4,3,-2.099999999999942
4,4,-2.2160208333332716
4,5,-2.099999999999942
4,6,-2.099583333333275
5,0,-2.099999999999942
5,1,-2.2332500000000217
5,2,-2.099999999999942
5,3,-2.8846354166666113
5,4,-2.100156249999942
5,5,-2.099999999999942
5,6,-2.099999999999942
6,0,-2.099374999999942
6,1,-2.099999999999942
6,2,-2.099999999999942
6,3,-2.2664583333332753
6,4,-2.099999999999942
6,5,-2.237656249999946
6,6,-2.099999999999942
7,0,-2.099999999999942
7,1,-2.0671666666666795
7,2,-2.099999999999942
7,3,-2.099999999999942
7,4,-2.099999999999942
7,5,-2.099999999999942
7,6,-2.099999999999942
8,0,-2.0991666666666084
8,1,-2.099999999999942
8,2,-2.099999999999942
8,3,-2.316854166666627
8,4,-2.099999999999942
8,5,-2.2011979166666054
8,6,-2.0997916666666083
9,0,-2.099999999999942
9,1,-2.183312499999941
9,2,-2.099999999999942
9,3,-2.183416666666607
9,4,-2.099999999999942
9,5,-2.099999999999942
9,6,-2.099583333333275
10,0,-2.0997916666666083
10,1,-2.0835937499999773
10,2,-2.099999999999942
10,3,-2.1833124999999405
10,4,-2.099999999999942
10,5,-2.099999999999942
10,6,-2.0997916666666083
11,0,-2.099999999999942
11,1,-2.083572916666644
11,2,-2.099999999999942
11,3,-2.099999999999942
11,4,-2.066854166666628
11,5,-2.08779166666662
11,6,-2.099999999999942
