Iteration,Custom Metrics
1,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 903}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 2}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 321}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 341}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1564}}"
2,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 4}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1598}}"
3,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1595}}"
4,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
5,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
6,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
7,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
8,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
9,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
10,"{'agent-0': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}, 'agent-1': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-5': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 0}, 'agent-6': {'num_collected': 0, 'time_waited': 1600, 'num_cleaned': 1600}}"
