Iteration,Average_Reward
1,-2.189434523809503
2,-2.312390873015865
3,-2.4966547619047623
4,-2.463863591269831
5,-2.4481676587301537
6,-2.3553124999999904
7,-2.366656746031744
8,-2.433045634920623
9,-2.36937499999999
10,-2.3060763888888833
11,-2.3380704365079206
12,-2.3776984126984044
13,-2.3073263888888844
14,-2.33003472222221
15,-2.337941468253952
16,-2.3300148809523598
17,-2.3380704365079206
18,-2.2903373015872908
19,-2.322222222222215
20,-2.337916666666651
21,-2.274538690476183
22,-2.1872718253968224
23,-2.321706349206339
24,-2.337891865079349
25,-2.271850198412687
26,-2.328457341269842
27,-2.2765277777777686
28,-2.299479166666643
29,-2.384632936507933
30,-2.265178571428567
31,-2.4048511904761845
32,-2.353928571428569
33,-2.3301339285714144
34,-2.337936507936495
35,-2.3299404761904645
36,-2.306111111111103
37,-2.322043650793641
38,-2.34588789682538
39,-2.3459722222222053
40,-2.3142708333333184
41,-2.290436507936508
42,-2.3221180555555394
43,-2.314206349206343
44,-2.3380357142856987
45,-2.2825099206349035
46,-2.3061210317460263
47,-2.20304563492063
48,-2.2586656746031633
49,-2.302420634920611
50,-2.358273100907018
51,-2.191955782312921
52,-2.215501700680245
53,-2.1951870748299176
54,-2.3175765306122487
55,-2.201921768707472
56,-2.2630697278911533
57,-2.239230442176852
58,-2.19161139455781
59,-2.2428273809523716
60,-2.297159863945567
61,-2.2291666666666585
62,-2.3515306122448933
63,-2.1712372448979558
64,-2.1951488095238183
65,-2.2903571428571365
66,-2.1746428571428464
67,-2.239196428571417
68,-2.2870365646258253
69,-2.1611224489795795
70,-2.2690093537414877
71,-2.263486394557806
72,-2.22569727891153
73,-2.196181972789106
74,-2.314158163265302
75,-2.167857142857146
76,-2.154434523809533
77,-2.269625850340141
78,-2.1770875850339992
79,-2.282980442176848
80,-2.25132227891155
81,-2.1749107142856916
82,-2.1725807823129175
83,-2.17826530612244
84,-2.193035714285706
85,-2.231262755102034
86,-2.202036564625822
87,-2.1681505102040735
88,-2.1782695578231164
89,-2.185191326530598
90,-2.241819727891143
91,-2.1985416666666424
92,-2.242695578231269
93,-2.2573469387754876
94,-2.1676360544217386
95,-2.195110544217672
96,-2.166734693877522
97,-2.2054506802720875
98,-2.185029761904737
99,-2.2157908163265025
100,-2.2052891156462313
101,-2.1984566326530457
102,-2.212104591836709
103,-2.2155867346938494
104,-2.218932823129221
105,-2.198520408163237
106,-2.1819090136054142
107,-2.2002636054421494
108,-2.17457908163263
109,-2.2834311224489725
110,-2.2155017006802695
111,-2.2425807823129107
112,-2.2225170068027054
113,-2.1034013605442095
114,-2.2936267006802504
115,-2.208745748299311
116,-2.1746301020407945
117,-2.280212585034003
118,-2.171194727891146
119,-2.194566751700672
120,-2.2392602040816194
121,-2.1609948979591604
122,-2.1919387755101707
123,-2.2393877551020323
124,-2.2526105442176596
125,-2.232304421768677
126,-2.1985161564625804
127,-2.191734693877528
128,-2.2972363945578094
129,-2.113482142857113
130,-2.1407525510203933
131,-2.0964328231292346
132,-2.1645195578231218
133,-2.1237585034013535
134,-2.0149277210884278
135,-2.072806122448958
