Iteration,Agent_ID,Average_Reward
1,0,-2.00022916666664
1,1,-2.8550729166666833
1,2,-2.095864583333277
1,3,-1.9717256944443922
1,4,-2.2185486111111277
1,5,-2.209027777777735
1,6,-1.9755729166666667
2,0,-2.099999999999942
2,1,-3.0601388888889036
2,2,-1.989375000000002
2,3,-3.042395833333354
2,4,-2.083993055555508
2,5,-2.0444791666666386
2,6,-1.8663541666667072
3,0,-2.0444791666666386
3,1,-3.1000000000000103
3,2,-2.044513888888861
3,3,-3.044027777777799
3,4,-2.044513888888861
3,5,-2.765645833333321
3,6,-2.433402777777844
4,0,-2.099999999999942
4,1,-2.9891319444444755
4,2,-2.099999999999942
4,3,-3.1000000000000103
4,4,-1.9888541666666688
4,5,-2.8149270833332767
4,6,-2.154131944444497
5,0,-2.099999999999942
5,1,-2.9512500000000355
5,2,-1.987638888888891
5,3,-3.044027777777799
5,4,-2.044270833333305
5,5,-2.7988749999999523
5,6,-2.2111111111111525
6,0,-1.9333680555555635
6,1,-2.7760416666666536
6,2,-2.098888888888831
6,3,-3.017326388888914
6,4,-2.0712152777777355
6,5,-2.376180555555532
6,6,-2.2141666666667015
7,0,-1.933298611111119
7,1,-2.9882291666666982
7,2,-2.099999999999942
7,3,-2.9886805555555873
7,4,-2.044513888888861
7,5,-2.433333333333298
7,6,-2.0785416666667005
8,0,-2.044513888888861
8,1,-3.0991666666666773
8,2,-2.0999652777777196
8,3,-3.099791666666677
8,4,-1.9889236111111133
8,5,-2.099999999999942
8,6,-2.5989583333333717
9,0,-1.988506944444422
9,1,-3.042152777777799
9,2,-2.099999999999942
9,3,-3.0438541666666876
9,4,-2.0444444444444163
9,5,-2.433333333333298
9,6,-1.9333333333333655
10,0,-1.9888194444444462
10,1,-3.0995833333333436
10,2,-2.0434027777777497
10,3,-3.0437500000000206
10,4,-1.9889583333333112
10,5,-2.100208333333275
10,6,-1.877812500000038
11,0,-2.099999999999942
11,1,-3.0444444444444656
11,2,-2.099999999999942
11,3,-3.099791666666677
11,4,-2.0444444444444163
11,5,-2.0444791666666386
11,6,-1.9333333333333655
12,0,-2.044374999999972
12,1,-3.0995833333333436
12,2,-2.044374999999972
12,3,-3.1000000000000103
12,4,-1.988888888888891
12,5,-2.099999999999942
12,6,-2.266666666666702
13,0,-2.0444444444444163
13,1,-3.044027777777798
13,2,-1.9964236111111138
13,3,-3.044027777777799
13,4,-2.044513888888861
13,5,-2.099999999999942
13,6,-1.8778472222222602
14,0,-2.099999999999942
14,1,-3.099965277777788
14,2,-1.9333333333333413
14,3,-3.0991666666666773
14,4,-2.099999999999942
14,5,-2.0444444444444163
14,6,-1.9333333333333655
15,0,-1.9890624999999778
15,1,-3.0993750000000104
15,2,-2.099999999999942
15,3,-3.0993750000000104
15,4,-2.099999999999942
15,5,-2.0444444444444163
15,6,-1.9333333333333655
16,0,-2.0999652777777196
16,1,-3.043819444444465
16,2,-2.099583333333275
16,3,-2.9889236111111424
16,4,-2.099999999999942
16,5,-2.099999999999942
16,6,-1.877812500000038
17,0,-2.099999999999942
17,1,-3.0444444444444656
17,2,-1.9889236111111133
17,3,-3.099791666666677
17,4,-2.099999999999942
17,5,-2.099999999999942
17,6,-1.9333333333333655
18,0,-1.9889583333333354
18,1,-2.9326736111110976
18,2,-2.099999999999942
18,3,-3.099583333333344
