Iteration,Average_Reward
1,-15.045020833333535
2,-15.489520833333199
3,-14.925218750000182
4,-14.881177083333398
5,-14.770770833333643
6,-14.684291666667038
7,-14.85414583333369
8,-14.978604166666674
9,-14.912166666666746
10,-14.902635416666554
11,-15.080916666666838
12,-14.916031250000177
13,-14.91609374999966
14,-14.618343750000232
15,-15.18108333333318
16,-15.098187499999852
17,-15.397916666666912
18,-15.181906250000381
19,-14.982239583333477
20,-14.698802083333762
21,-14.997427083333509
22,-14.699583333333763
23,-15.729364583333474
24,-14.816697916666808
25,-14.932250000000392
26,-14.69875000000043
27,-15.430354166666508
28,-15.545572916666227
29,-14.832333333333334
30,-14.972812499999986
31,-14.931875000000392
32,-14.919156250000238
33,-14.948281250000239
34,-15.130031250000105
35,-14.963750000000287
36,-14.74789583333353
37,-15.11494791666637
38,-15.098562500000387
39,-15.297406250000376
40,-15.314114583333465
41,-15.272020833333642
42,-14.849864583333723
43,-14.81575000000014
44,-14.884854166666795
45,-14.964812500000292
46,-14.699520833333764
47,-14.700229166667096
48,-14.831812500000186
49,-14.983000000000136
50,-14.998937500000011
51,-14.995270833333478
52,-14.982187500000148
53,-14.749072916666872
54,-14.765500000000376
55,-14.699052083333765
56,-14.882177083333428
57,-14.924031250000024
58,-14.756385416666955
59,-14.84845833333338
60,-15.072197916666738
61,-15.04740624999994
62,-14.915239583333332
63,-15.221031249999866
64,-15.138718750000123
65,-14.872218750000359
66,-15.04859375000009
67,-14.766260416667048
68,-14.849781250000051
69,-15.164656249999725
70,-15.139593750000019
71,-14.816197916666805
72,-15.13186458333342
73,-15.734812499999993
74,-14.765322916666518
75,-14.99785416666666
76,-14.981437500000155
77,-14.681177083333706
78,-15.131979166666962
79,-15.130427083333089
80,-14.81465625000014
81,-15.181229166666514
82,-15.527270833333777
83,-15.145875000000299
84,-15.310562500000149
85,-14.932458333333726
86,-15.098291666666515
87,-15.198322916666545
88,-14.783343749999915
89,-15.215291666666229
90,-15.249864583333123
91,-15.213999999999753
92,-14.800072916666952
93,-15.132041666666778
94,-14.965427083333621
95,-14.8354687500001
96,-14.683270833333706
97,-15.099479166666516
98,-14.799520833333418
99,-15.198718750000044
100,-15.048843750000103
101,-14.932312500000393
102,-15.066041666666809
103,-14.933093749999843
104,-15.032666666666644
105,-14.734010416666864
106,-15.364677083333039
107,-14.982531250000138
108,-14.70000000000043
109,-15.514406250000222
110,-14.766812500000313
111,-14.815541666666942
112,-14.849739583333719
113,-15.248937500000078
114,-14.899770833333474
115,-14.76597916666678
116,-15.098822916667071
117,-15.19818750000006
118,-15.211791666666752
119,-14.949135416666909
120,-14.982020833333452
121,-14.849531250000386
122,-15.230166666666817
123,-15.29736458333363
124,-14.800062500000083
125,-15.09868750000038
126,-14.799531250000285
127,-14.682989583333706
128,-15.297927083333374
129,-14.816666666666801
130,-14.700125000000428
131,-14.91651041666647
132,-14.997812500000176
133,-15.098916666666515
134,-15.280677083333217
135,-15.34798958333363
136,-14.846406250000385
137,-15.033499999999892
138,-15.277958333333398
139,-15.01706249999985
140,-15.315677083333512
141,-15.115416666666558
142,-15.099489583333199
143,-15.429833333333743
144,-15.033135416666912
145,-14.899375000000145
146,-15.06478125000018
147,-14.782687500000431
148,-14.964114583333444
149,-15.327979166666662
150,-14.68466666666704
151,-14.866729166666968
152,-14.73216666666707
153,-15.049395833333422
154,-14.98246875000012
155,-15.081927083333373
156,-15.12904166666669
157,-14.866052083333766
158,-14.783197916666895
159,-14.76706250000024
160,-14.964624999999952
161,-15.032458333333308
162,-14.783270833333631
163,-14.766500000000377
164,-14.699583333333763
165,-14.8665729166671
166,-14.816385416666806
167,-14.68371875000037
168,-15.44703125000007
169,-15.098124999999897
170,-15.247302083333235
171,-15.430604166666795
172,-14.948750000000244
173,-15.01427083333337
174,-14.998937500000263
175,-14.832354166666857
176,-14.998614583333534
177,-15.006020833333565
178,-14.698958333333763
179,-15.097385416666924
180,-15.26160416666676
181,-14.783541666666896
182,-15.122593749999997
183,-14.683687500000373
184,-15.106177083333389
185,-14.94512500000025
186,-14.965500000000095
187,-15.59563541666672
188,-15.43859375000024
189,-14.964333333333284
190,-14.981052083333655
191,-15.293239583333362
192,-14.848437500000387
193,-14.769687500000312
194,-15.185270833333151
195,-15.314416666666627
196,-15.345635416666791
197,-15.189218750000109
198,-15.437999999999848
199,-15.557864583332918
200,-14.899687500000166
201,-14.817989583333473
202,-15.211562500000095
203,-15.472156250000143
204,-14.799864583333619
205,-14.978968750000137
206,-15.92459375000001
207,-15.349572916666885
208,-14.816458333333474
209,-15.193395833333565
210,-14.968520833333624
211,-14.80140624999977
212,-15.132447916666766
213,-15.283322916666377
214,-15.341979166666771
215,-14.70000000000043
216,-15.195822916666915
217,-14.901458333333476
