Iteration,Agent_ID,Average_Reward
1,0,-15.045020833333533
1,1,-15.045020833333533
1,2,-15.045020833333533
1,3,-15.045020833333533
1,4,-15.045020833333533
1,5,-15.045020833333533
1,6,-15.045020833333533
2,0,-15.489520833333197
2,1,-15.489520833333197
2,2,-15.489520833333197
2,3,-15.489520833333197
2,4,-15.489520833333197
2,5,-15.489520833333197
2,6,-15.489520833333197
3,0,-14.925218750000182
3,1,-14.925218750000182
3,2,-14.925218750000182
3,3,-14.925218750000182
3,4,-14.925218750000182
3,5,-14.925218750000182
3,6,-14.925218750000182
4,0,-14.881177083333398
4,1,-14.881177083333398
4,2,-14.881177083333398
4,3,-14.881177083333398
4,4,-14.881177083333398
4,5,-14.881177083333398
4,6,-14.881177083333398
5,0,-14.770770833333643
5,1,-14.770770833333643
5,2,-14.770770833333643
5,3,-14.770770833333643
5,4,-14.770770833333643
5,5,-14.770770833333643
5,6,-14.770770833333643
6,0,-14.684291666667038
6,1,-14.684291666667038
6,2,-14.684291666667038
6,3,-14.684291666667038
6,4,-14.684291666667038
6,5,-14.684291666667038
6,6,-14.684291666667038
7,0,-14.85414583333369
7,1,-14.85414583333369
7,2,-14.85414583333369
7,3,-14.85414583333369
7,4,-14.85414583333369
7,5,-14.85414583333369
7,6,-14.85414583333369
8,0,-14.978604166666676
8,1,-14.978604166666676
8,2,-14.978604166666676
8,3,-14.978604166666676
8,4,-14.978604166666676
8,5,-14.978604166666676
8,6,-14.978604166666676
9,0,-14.912166666666744
9,1,-14.912166666666744
9,2,-14.912166666666744
9,3,-14.912166666666744
9,4,-14.912166666666744
9,5,-14.912166666666744
9,6,-14.912166666666744
10,0,-14.902635416666554
10,1,-14.902635416666554
10,2,-14.902635416666554
10,3,-14.902635416666554
10,4,-14.902635416666554
10,5,-14.902635416666554
10,6,-14.902635416666554
11,0,-15.080916666666838
11,1,-15.080916666666838
11,2,-15.080916666666838
11,3,-15.080916666666838
11,4,-15.080916666666838
11,5,-15.080916666666838
11,6,-15.080916666666838
12,0,-14.91603125000018
12,1,-14.91603125000018
12,2,-14.91603125000018
12,3,-14.91603125000018
12,4,-14.91603125000018
12,5,-14.91603125000018
12,6,-14.91603125000018
13,0,-14.91609374999966
13,1,-14.91609374999966
13,2,-14.91609374999966
13,3,-14.91609374999966
13,4,-14.91609374999966
13,5,-14.91609374999966
13,6,-14.91609374999966
14,0,-14.61834375000023
14,1,-14.61834375000023
14,2,-14.61834375000023
14,3,-14.61834375000023
14,4,-14.61834375000023
14,5,-14.61834375000023
14,6,-14.61834375000023
