Iteration,Average_Reward
1,-2.2767351190476086
2,-2.1310476190475804
3,-2.18902083333329
4,-2.1276339285713766
5,-2.1261845238094694
6,-2.116973214285658
7,-2.128462797618998
8,-2.1699077380951812
9,-2.1615982142856742
10,-2.1664821428570997
11,-2.2485014880951986
12,-2.1580967261904322
13,-2.1662723214285178
14,-2.1604702380951797
15,-2.1546041666666134
16,-2.128438988095179
17,-2.238188988095184
18,-2.18981249999995
19,-2.1166785714285212
20,-2.11430059523805
21,-2.128616071428524
22,-2.0929255952380443
23,-2.2210044642856928
24,-2.1094345238094756
25,-2.1498318452380505
26,-2.1355282738094674
27,-2.1924404761904257
28,-2.1119077380951827
29,-2.2707351190475755
30,-2.20188095238091
31,-2.114334821428528
32,-2.11427083333328
33,-2.140516369047561
34,-2.1365624999999575
35,-2.2541934523809064
36,-2.1432738095237576
37,-2.107163690476135
38,-2.1202336309523333
39,-2.1687291666666253
40,-2.221337797618989
41,-2.111930059523751
42,-2.1333482142856752
43,-2.1996354166666303
44,-2.140367559523751
45,-2.132818452380909
46,-2.2601651785713823
47,-2.1024092261904235
48,-2.2116785714285285
49,-2.1496800595237535
50,-2.176043154761863
51,-2.1753303571428098
52,-2.1157619047618494
53,-2.228107142857096
54,-2.1287693452380365
55,-2.1144821428571037
56,-2.0929196428570926
57,-2.121394345238044
58,-2.155925595238045
59,-2.1166220238094735
60,-2.1833511904761367
61,-2.1011919642856585
62,-2.1523556547618488
63,-2.1214702380951875
64,-2.120232142857092
65,-2.12733630952376
66,-2.1261800595237594
67,-2.210169642857095
68,-2.185879464285669
69,-2.2660014880951946
70,-2.127702380952328
71,-2.2634747023809245
72,-2.1791398809523312
73,-2.1050104166666186
74,-2.1309910714285203
75,-2.114296130952329
76,-2.109586309523767
77,-2.1261666666666135
78,-2.1047217261904256
79,-2.0951711309523255
80,-2.0952470238094683
81,-2.095574404761852
82,-2.114162202380903
83,-2.09110714285709
84,-2.111998511904706
85,-2.1120729166666115
86,-2.095293154761849
87,-2.10008184523804
88,-2.1311458333332807
89,-2.109581845238045
90,-2.0952901785713727
91,-2.182659226190426
92,-2.2448318452380542
93,-2.123611607142799
94,-2.1342961309523254
95,-2.123660714285656
96,-2.182956845238043
97,-2.0883749999999526
98,-2.1118913690475716
99,-2.082763392857103
100,-2.1365833333332813
101,-2.1464092261904235
102,-2.1403556547618563
103,-2.0835401785713836
104,-2.1282663690475694
105,-2.135619047619002
106,-2.1142172619047153
107,-2.1280089285713837
108,-2.127141369047569
109,-2.139635416666617
110,-2.1440922619047256
111,-2.160678571428521
112,-2.101276785714236
113,-2.1609449404761425
114,-2.167514880952323
115,-2.136941964285665
116,-2.1176071428570884
117,-2.1176845238094715
118,-2.107278273809468
119,-2.173793154761854
120,-2.1403660714285215
121,-2.1389062499999594
122,-2.1354880952380464
123,-2.113061011904717
124,-2.1523630952380475
125,-2.107215773809479
126,-2.142696428571375
127,-2.1319895833332843
128,-2.1689047619047304
129,-2.1095714285713787
130,-2.2259434523809074
