Iteration,Agent_ID,Average_Reward
1,0,-2.7089062500000085
1,1,-2.085604166666615
1,2,-2.821708333333323
1,3,-1.8685937499999763
1,4,-1.9207083333333028
1,5,-2.535916666666682
1,6,-1.9957083333333525
2,0,-2.099999999999942
2,1,-2.099999999999942
2,2,-2.1975104166666486
2,3,-2.1876875000000213
2,4,-2.099999999999942
2,5,-2.099999999999942
2,6,-2.1321354166666255
3,0,-2.426687499999938
3,1,-2.099999999999942
3,2,-2.353374999999977
3,3,-2.0846770833333106
3,4,-2.099999999999942
3,5,-2.100270833333275
3,6,-2.1581354166666453
4,0,-2.2334374999999613
4,1,-2.099999999999942
4,2,-2.099999999999942
4,3,-2.123958333333295
4,4,-2.099999999999942
4,5,-2.136041666666615
4,6,-2.099999999999942
5,0,-2.299854166666601
5,1,-2.099999999999942
5,2,-2.099999999999942
5,3,-2.083281249999977
5,4,-2.099999999999942
5,5,-2.1001562499999418
5,6,-2.099999999999942
6,0,-2.099999999999942
6,1,-2.099999999999942
6,2,-2.2191354166666213
6,3,-2.099999999999942
6,4,-2.100093749999942
6,5,-2.099999999999942
6,6,-2.099583333333275
7,0,-2.099999999999942
7,1,-2.099999999999942
7,2,-2.282874999999959
7,3,-2.1160520833333143
7,4,-2.099999999999942
7,5,-2.100312499999942
7,6,-2.099999999999942
8,0,-2.2820624999999617
8,1,-2.099999999999942
8,2,-2.1280312499999434
8,3,-2.099958333333275
8,4,-2.099999999999942
8,5,-2.379718749999932
8,6,-2.099583333333275
9,0,-2.1333020833332754
9,1,-2.099999999999942
9,2,-2.1997083333333136
9,3,-2.166281249999982
9,4,-2.099999999999942
9,5,-2.3327291666666556
9,6,-2.0991666666666084
10,0,-2.100114583333275
10,1,-2.099999999999942
10,2,-2.0669374999999612
10,3,-2.100437499999942
10,4,-2.1006041666666087
10,5,-2.5983229166666963
10,6,-2.098958333333275
11,0,-2.099999999999942
11,1,-2.099999999999942
11,2,-2.536864583333342
11,3,-2.1256666666666284
11,4,-2.411989583333279
11,5,-2.3656145833333153
11,6,-2.099374999999942
12,0,-2.3665208333333156
12,1,-2.099999999999942
12,2,-2.1000624999999418
12,3,-2.09171874999996
12,4,-2.099999999999942
12,5,-2.249624999999986
12,6,-2.0987499999999417
13,0,-2.100114583333275
13,1,-2.099999999999942
13,2,-2.099999999999942
13,3,-2.099999999999942
13,4,-2.448666666666644
13,5,-2.2161666666666044
13,6,-2.098958333333275
