Iteration,Agent_ID,Average_Reward
6,0,0.0027083333333333334
6,1,0.0
6,2,0.000625
6,3,0.0010416666666666667
6,4,0.0
6,5,0.0010416666666666667
6,6,0.0
7,0,0.00125
7,1,0.002291666666666667
7,2,0.0010416666666666667
7,3,0.001875
7,4,0.0
7,5,0.004479166666666667
7,6,0.0053125
1,0,0.0010416666666666667
1,1,0.0008333333333333334
1,2,0.0046875
1,3,0.0032291666666666666
1,4,0.0
1,5,0.0134375
1,6,0.012395833333333333
8,0,0.0008333333333333334
8,1,0.006458333333333333
8,2,0.0014583333333333334
8,3,0.004791666666666666
8,4,0.0
8,5,0.0025
8,6,0.0030208333333333333
2,0,0.0
2,1,0.001875
2,2,0.0
2,3,0.0027083333333333334
2,4,0.0
2,5,0.0004166666666666667
2,6,0.00020833333333333335
9,0,0.00125
9,1,0.0008333333333333334
9,2,0.0010416666666666667
9,3,0.0026041666666666665
9,4,0.0025
9,5,0.0023958333333333336
9,6,0.0
3,0,0.0011458333333333333
3,1,0.000625
3,2,0.001979166666666667
3,3,0.00020833333333333335
3,4,0.00020833333333333335
3,5,0.0025
3,6,0.005104166666666667
10,0,0.005833333333333334
10,1,0.0
10,2,0.0017708333333333332
10,3,0.0038541666666666668
10,4,0.0
10,5,0.0022916666666666667
10,6,0.0026041666666666665
4,0,0.0016666666666666668
4,1,0.0004166666666666667
4,2,0.008645833333333333
4,3,0.00125
4,4,0.00020833333333333335
4,5,0.00020833333333333335
4,6,0.0015624999999999999
11,0,0.005833333333333334
11,1,0.0
11,2,0.00020833333333333335
11,3,0.0026041666666666665
11,4,0.00020833333333333335
11,5,0.0
11,6,0.0016666666666666668
5,0,0.0015624999999999999
5,1,0.001875
5,2,0.0004166666666666667
5,3,0.0027083333333333334
5,4,0.0004166666666666667
5,5,0.0032291666666666666
5,6,0.0
12,0,0.0028125000000000003
12,1,0.0
6,0,0.00020833333333333335
12,2,0.00020833333333333335
6,1,0.0004166666666666667
12,3,0.0021875
6,2,0.0008333333333333334
12,4,0.0
6,3,0.0
12,5,0.0
6,4,0.0
12,6,0.005208333333333333
6,5,0.001875
6,6,0.00125
7,0,0.0004166666666666667
7,1,0.00020833333333333335
13,0,0.005833333333333334
7,2,0.0013541666666666667
13,1,0.0
7,3,0.00125
13,2,0.002916666666666667
7,4,0.0004166666666666667
13,3,0.0034375
7,5,0.0040625
7,6,0.0008333333333333334
13,4,0.0
13,5,0.0
13,6,0.0
14,0,0.00020833333333333335
14,1,0.0
14,2,0.00020833333333333335
14,3,0.0030208333333333337
14,4,0.0
14,5,0.0
14,6,0.0017708333333333332
8,0,0.0008333333333333334
8,1,0.0014583333333333332
8,2,0.004791666666666666
8,3,0.00375
8,4,0.0
8,5,0.006666666666666667
8,6,0.0015624999999999999
15,0,0.004895833333333333
15,1,0.0
15,2,0.00125
15,3,0.0020833333333333333
15,4,0.0027083333333333334
15,5,0.0
15,6,0.0053125
9,0,0.003541666666666667
9,1,0.0
9,2,0.0
9,3,0.0004166666666666667
9,4,0.0
9,5,0.0025
9,6,0.00020833333333333335
16,0,0.0
16,1,0.0
16,2,0.0004166666666666667
16,3,0.001979166666666667
16,4,0.0
16,5,0.0
16,6,0.004270833333333333
10,0,0.0014583333333333332
10,1,0.0
10,2,0.0010416666666666667
10,3,0.0038541666666666668
10,4,0.00020833333333333335
10,5,0.0013541666666666667
10,6,0.0
17,0,0.001979166666666667
17,1,0.0
17,2,0.0004166666666666667
17,3,0.0008333333333333334
17,4,0.000625
17,5,0.0
17,6,0.00020833333333333335
11,0,0.0010416666666666667
11,1,0.0
11,2,0.0021875
11,3,0.0020833333333333333
11,4,0.0
11,5,0.0004166666666666667
11,6,0.0
18,0,0.0011458333333333333
18,1,0.0
18,2,0.000625
18,3,0.00020833333333333335
18,4,0.00020833333333333335
18,5,0.0014583333333333334
18,6,0.0
12,0,0.0004166666666666667
12,1,0.0020833333333333333
12,2,0.0
12,3,0.000625
12,4,0.0
12,5,0.0
12,6,0.0004166666666666667
19,0,0.0
19,1,0.0
19,2,0.0030208333333333333
19,3,0.0032291666666666666
19,4,0.005416666666666667
19,5,0.0
19,6,0.0
13,0,0.0017708333333333332
13,1,0.009166666666666667
13,2,0.0025
13,3,0.000625
13,4,0.0
13,5,0.00020833333333333335
13,6,0.0
20,0,0.0
20,1,0.0
20,2,0.000625
20,3,0.00125
20,4,0.0
20,5,0.0
20,6,0.0
14,0,0.001979166666666667
14,1,0.0
14,2,0.0004166666666666667
14,3,0.0
14,4,0.0
14,5,0.0025
14,6,0.00125
21,0,0.00020833333333333335
21,1,0.00020833333333333335
21,2,0.0010416666666666667
21,3,0.003645833333333333
21,4,0.0011458333333333333
21,5,0.0
21,6,0.0
15,0,0.000625
15,1,0.00125
15,2,0.0032291666666666666
15,3,0.0013541666666666667
15,4,0.0
15,5,0.0010416666666666667
15,6,0.0
22,0,0.0
22,1,0.0
22,2,0.0014583333333333332
22,3,0.004583333333333334
22,4,0.0008333333333333334
22,5,0.0
22,6,0.0
16,0,0.000625
16,1,0.0004166666666666667
16,2,0.00125
16,3,0.0
16,4,0.0
16,5,0.0017708333333333332
16,6,0.0020833333333333333
23,0,0.0
23,1,0.0
23,2,0.00125
23,3,0.005937500000000001
23,4,0.004270833333333334
23,5,0.0008333333333333334
23,6,0.0004166666666666667
17,0,0.0321875
17,1,0.0
17,2,0.00125
17,3,0.0
17,4,0.0
17,5,0.00125
17,6,0.0
24,0,0.0013541666666666667
24,1,0.0
24,2,0.0017708333333333332
24,3,0.007604166666666666
24,4,0.0046875
24,5,0.0
24,6,0.0
18,0,0.006354166666666667
18,1,0.0
18,2,0.0034375
18,3,0.000625
18,4,0.0
18,5,0.00020833333333333335
18,6,0.0004166666666666667
25,0,0.00020833333333333335
25,1,0.0
25,2,0.0016666666666666668
25,3,0.003645833333333333
25,4,0.004791666666666666
25,5,0.0004166666666666667
25,6,0.0
19,0,0.0004166666666666667
19,1,0.0010416666666666667
19,2,0.0015624999999999999
19,3,0.0008333333333333334
19,4,0.0
19,5,0.004479166666666667
19,6,0.0010416666666666667
26,0,0.0
26,1,0.0
26,2,0.0016666666666666668
26,3,0.0038541666666666668
26,4,0.0020833333333333333
26,5,0.0
26,6,0.0004166666666666667
20,0,0.004270833333333334
20,1,0.0
20,2,0.0011458333333333333
20,3,0.00125
20,4,0.0
20,5,0.001875
20,6,0.00020833333333333335
27,0,0.0
27,1,0.0
27,2,0.0029166666666666664
27,3,0.0027083333333333334
27,4,0.0008333333333333334
27,5,0.0010416666666666667
27,6,0.0014583333333333334
21,0,0.0060416666666666665
21,1,0.00020833333333333335
21,2,0.00020833333333333335
21,3,0.0027083333333333334
21,4,0.0
21,5,0.0
21,6,0.0035416666666666665
28,0,0.0
28,1,0.0
28,2,0.0028125000000000003
28,3,0.0
28,4,0.0016666666666666668
28,5,0.0
28,6,0.00375
22,0,0.0
22,1,0.004895833333333334
22,2,0.0032291666666666666
22,3,0.00020833333333333335
22,4,0.0004166666666666667
22,5,0.0
22,6,0.0021875
29,0,0.0
29,1,0.0
29,2,0.0
29,3,0.0060416666666666665
29,4,0.00125
29,5,0.00125
29,6,0.0
23,0,0.00020833333333333335
23,1,0.0027083333333333334
23,2,0.00020833333333333335
23,3,0.0004166666666666667
23,4,0.0
23,5,0.002916666666666667
23,6,0.0
30,0,0.0
30,1,0.0
30,2,0.0004166666666666667
30,3,0.0
30,4,0.0
30,5,0.0
30,6,0.0
24,0,0.0010416666666666667
24,1,0.000625
24,2,0.00125
24,3,0.0027083333333333334
24,4,0.0
24,5,0.0026041666666666665
24,6,0.00020833333333333335
25,0,0.004583333333333333
25,1,0.0
